New MrsP    Original MrsP    MSRP    FIFONP-JAVA    FIFOP-JAVA    FIFONP-C    FIFOP-C
5500488    391089    361445    7510210    4411233    936649377    653385158
394662    6544    8866    138794    68531    220419184    470149206
6257570    40059    42915    891757    6307473    148413082    2822685808
4563457    24934    26111    946800    633808    399200195    829033394
503769    125158    16829    9636568    7815249    2224423865    3579573786
97479    281895    395987    9900155    5413286    1043559238    865738383
558751    6983    8499    123642    105866    159730909    294959815
181686    4584    5319    61521    30430    409723709    876967630
98037    37508    37413    1286631    857790    357447087    647807689
3723610    24349    26441    744756    385238    185834054    303119330
551582    65247    32497    861148    7964336    251924772    3495479397
1067933    26199    26942    827052    11031797    189752977    3561854063
10662175    277175    244709    14151659    10257015    4752608661    6188961249
1195103    19076    21023    571428    324591    257378657    530163482
134100    39332    44087    1355625    719007    247650513    360881733
199513    49524    52506    3714182    855967    776028319    804875916
3347499    76166    49465    1285049    744197    187599162    295585309
7198805    40478    72239    2538377    1576562    307592912    391661284
57595    173369    153634    10313793    10264023    3523494711    6835412852
46627    3959    4832    23385    8052589    186187522    3485611261
1461114    13198    14722    395708    200537    162505423    271182452
8397759    429918    496349    12042614    9061118    1228497523    1528621594
68926137    273148    263074    10471056    5665943    1042907631    988227811
10532166    472483    469024    8855511    7062823    1045145764    1262231106
16001231    357460    446717    12509550    8114489    2016238234    1802800638
2440822    13020    14057    328868    183914    327874916    364165016
94198353    264007    293694    9539241    7213585    935739526    923067838
4738668    385953    448335    7229476    4871699    1067235007    938393226
75105251    338673    453496    8843759    4826409    1283325388    1315551456
817299    1450790    1716683    10051734    5816940    1485233667    918408124
151519    146906    117763    9949476    7823092    2765569226    2952753794
95634    98866    111805    8529596    5633555    1519945301    1835733495
4746725    41457    45593    1035324    597434    111809706    203361898
4267054    290197    355601    8929089    6522989    1785174255    1885487323
3546118    42605    47840    1337059    727361    236321911    515837806
619365    7401    7836    109871    89255    180596237    341496860
158584    4742    5175    54564    28855    157485606    251154961
787510    423992    540887    10311507    6742537    1293179457    1427962131
8617646    349505    365362    10056859    8371570    1490166527    1857223519
2501542    184121    165808    11092833    9907337    2193801717    2856335166
476128    86132    105031    2732962    1651573    550012506    587221246
108577    13723    15079    2390893    272103    701268703    346511261
581020    6752    9065    130788    73205    140743890    179963090
433117    6971    7850    122184    84766    320746710    830498091
3110071    317456    389149    8660404    6437401    1111966263    1312357580
3299314    153992    175846    11147547    6577251    2028951056    1987668429
392291    81910    89206    9111382    6417572    1175432345    1251146424
694364    22582    23086    496030    6137249    153807281    2000973572
98597    4595    5466    9913496    6073783    1514539264    2023525911
614657    9705    12607    9388597    6331714    1840668256    2217493849
1186784    219695    228646    11117578    7946894    1362355566    1569800286
4317812    134558    194726    8137494    6350568    1267097904    1446622468
6217227    330006    426108    6582986    6337706    1381415759    1996873476
149984    5126    6157    12165518    841852    3666947196    1310947235
2189283    59867    62429    14234475    7495854    3058609465    2447861672
7917358    252254    208183    10597281    6731069    1428980775    1453182320
1893692    142791    158383    3984272    2289442    554265436    807599601
8085137    37491    42550    1405504    838505    184049527    211251289
113354176    303144    272865    8682797    6551538    1015304680    993140886
9841394    411100    418461    12567758    8111191    2615865526    2696690289
3070501    156966    228971    9571305    5900705    1451405982    1230630846
66534388    385557    499059    9009244    5415219    1050526842    1071155295
728538    171814    167513    13193224    7980631    3384595811    4019614906
6337566    30683    34469    1036413    525433    247771917    425284888
6745851    269649    280628    12479547    6320214    1737544603    1519502503
4247400    283637    317743    5795039    4548496    885783507    852211554
14421029    339687    344153    10177973    5738837    1147639925    896555091
8500720    79385    94594    12998233    8149366    2577111114    2350427614
1437722    14797    15222    10526059    926898    1792759002    479679287
3275243    422479    542284    8594044    5245779    1055323470    912302617
893052    303253    285425    7171811    6264535    937322276    1006228868
3938106    24883    26566    627258    456469    246279376    662354366
3041949    46963    24956    621558    335770    185198301    469525591
1264355    33736    38316    10285386    5148941    2093697403    1387129792
2096740    22386    23553    1000243    622207    256161615    467871467
779922    102053    159210    13882643    10940917    4588133797    8969642833
3414562    34925    68629    789595    423172    102208643    159318122
61318179    249506    312197    6375270    3762528    552148368    385705153
3388978    227651    282487    8860132    6376622    1114137041    1284794060
5377075    307910    364483    8522307    6426903    1148579849    1343946316
564168    8574    9445    8198049    5700452    1134078226    1269714907
6539376    30549    32054    827086    702892    120521290    237727878
6165923    312283    326873    9838345    8044246    1079742117    829914889
1253538    10307    11362    292633    235780    354472957    551055495
715317    334837    323827    9951543    5251335    2327862825    1894320211
715119    12286    13812    295878    184993    144343043    294970287
1289132    25598    29179    678250    440842    189622476    649034226
85356    45244    50067    1472996    827970    211562643    560026515
748519    349730    441345    13929006    7749982    2117350071    1885045768
3020116    333314    360255    7352377    4614230    958932280    941511213
841643    585564    596665    9384445    6448775    1239119218    1192256561
681046    35896    41890    1024179    622482    407061255    1068602639
502362    6957    7375    75733    54627    115886334    228201771
6031193    400073    446972    9942621    7244917    1019719875    1469941519
1260248    28371    30449    967280    588595    184450575    378357657
122252    28189    44364    901323    484548    181739534    337857418
413088    219759    190874    12876967    7953771    3094267344    4097968504
809322    239229    308054    10017887    6402205    2312814150    1823832045
191383    4900    5986    66501    28147    259427160    388234423
102330    4252    5686    41116    20912    188576013    385893009
780800    1178138    1330726    15538239    8098580    1970234675    1852917503
2763319    442223    566442    11120124    7984287    1574002130    2127693270
2218643    55975    60072    10240483    6194516    1527579971    1205467142
62276718    334278    330570    7789580    4912238    746498466    576467070
169659    5071    4865    47385    27922    365011432    722053209
4059810    296347    347755    9330526    5696300    2330460166    2333558113
2638359    20064    21873    529677    7983934    134230410    3286032968
6424395    155431    126154    11923118    8030125    2282735757    2675624080
10287770    349896    396072    10311548    6649298    1321780520    1206351334
5854400    32513    28669    1151893    692060    328784528    810373264
2826699    32782    36482    2408512    1287015    494159428    643908612
23064601    262954    358272    12887659    5657427    1225723939    705445154
10416833    370513    376012    8784947    5855670    1768352724    1495812022
4762698    26986    30335    780003    725967    170495863    437068556
4894855    13447    14906    524619    319929    285502530    596071026
1571939    12833    13846    216170    186253    226836989    488389737
3908381    25661    28754    768956    444549    236059640    609837768
4416997    53762    26929    769610    439432    186395727    337446440
1595094    14200    17310    385504    230086    185931169    324906201
476381    120429    135986    9146130    5166683    2501260783    2213433916
112095    7477    7998    170792    109297    196269323    521758583
128477    4409    4992    40505    22556    124473074    223565379
109196    20733    24160    756531    9679266    177050310    5184752322
4131285    43395    49665    1641171    822690    198532955    309259362
3277723    232596    191312    9580620    7109837    1906282557    1571024454
574428    337670    325334    5951413    5454685    1246935858    1789298901
115279    4173    4911    33329    27432    271963187    456772260
4563601    51240    41655    885442    570531    128231666    266504591
1706639    15868    16765    17315183    11169298    5325018519    5546873205
3444619    28076    30243    1016571    7080902    126230598    2427160207
4297441    24621    39146    665166    408434    284891067    854643426
3830962    61881    108381    3700100    7959575    551423899    2294892911
342079    138959    147340    12699636    8437012    3075285617    4277566455
78043193    276656    272053    6518105    3953615    608303521    566770275
1832650    226394    283213    9325367    5561309    1235703582    1105214892
3876068    29362    33378    941121    1362324    177849349    545567263
3891497    98498    111954    9870375    7466143    1765347009    2371204609
1435236    41741    44336    1182513    652182    170850978    293458044
5803038    138342    156126    10468280    6639678    1433951454    1547772587
1295937    149550    148124    10996016    8414867    1855737098    2256047318
6061889    22984    24881    730982    405952    243370551    449600037
5088536    37636    41349    1097066    577046    147835937    250913359
37527250    241482    320615    5474767    3783591    557798810    489669819
8395278    77344    115462    11895000    8547786    2926177323    2855842082
3183249    172034    191580    11741453    5771898    2127454779    1424370447
180494    739522    816063    12406436    9693423    3782752990    8117354641
1679707    43459    58999    1348514    755808    208703869    490137586
3453100    27059    28589    873496    529536    223594993    324995784
17569606    295353    372730    9992414    6545442    956464007    721340578
6212109    535385    572268    11424194    8014502    2096765514    2430347620
15769912    256707    345248    9054991    5477080    1212021048    1535019770
8455787    35299    36912    980588    675692    306822702    712085728
68419    74768    81071    15446703    10429112    5229637077    8673859728
69350    141560    5154    22915    6284991    193881219    2830821006
3617003    271562    315627    9367967    6112213    1380479608    1174188440
425287    6994    9167    2530097    7643380    763064015    3434866688
1246139    87253    143334    9013510    4445151    1139585961    947262564
2399609    52167    58755    12886992    5844966    1448165254    1012673438
4541560    272381    326013    10996452    6650970    1440686410    1673059174
4543909    97399    109639    7306926    4882111    1413104616    1672163879
10439472    42838    75579    1605270    924291    189531120    311309451
24041545    273100    351755    11659381    8090118    1478074303    2241651754
1005491    9199    11202    312836    160002    299003672    639295449
1266045    132541    224040    7159540    4474697    953261205    891798723
6492016    134219    148035    9842508    7904852    1162726970    1405877586
6578036    489415    546201    10955020    7589941    2150720718    2425039357
1171923    9791    11661    290208    155693    334222563    600182932
1821154    248355    289276    13700222    7344313    2419295198    2360737249
1018936    406442    422605    12778507    7106261    2366427336    2194688571
7846115    35178    38430    1043101    675174    241215988    398768155
121479428    215990    227404    10821915    6149450    1277848521    1107297098
2582599    490260    556802    12020583    6593142    1734641570    1396384939
370750    26380    30581    710882    424662    135414498    249706046
1205338    10282    11216    181902    6928129    210510235    4970158664
25680188    421694    450942    8183792    4310687    819803423    764080710
4066247    237438    220816    10502048    6917608    2734709580    4494035816
3584251    705011    711655    14322105    6684894    2403283867    1787924505
1601880    268445    307046    7714002    4950268    1044844205    909527512
122263    4180    4396    29577    59504    221607715    487137195
66287840    293570    330228    6658100    5392511    771127471    1045517935
5314055    38259    40293    1216123    715542    216340518    535452908
5174441    25049    27771    818818    535650    129465706    228774263
27393741    243306    226518    7417206    5553579    1070370610    1107198031
2176594    458588    536410    14182428    8557231    1969791306    2464115745
835604    8457    12096    321136    10747961    218833945    5071388140
80338363    263796    342291    9206513    4459946    963934941    741259096
2250580    37022    25064    679077    354160    197285008    279049513
2029333    15996    18505    435389    273770    216209313    451491478
4173136    13065    14471    413363    8039172    171383249    2529568207
1173726    193434    185228    8845878    5507549    1867382032    2615813215
2130240    311509    367817    9897970    6892577    1540733617    1530058965
2766534    64177    69262    9013070    6575549    1300344556    1741221715
1315598    120494    112691    10501619    7209197    1992506896    2583656276
63927    4292    14141    539466    372268    139051610    293524049
7169226    150999    154521    12382794    7282756    2183609412    1883734897
177912    4575    4330    42018    52100    195149588    291849340
70747211    272038    370004    7757820    6173316    947482147    1427767129
111817    845196    764393    10793356    9279140    2787961252    2595533705
102076    512438    529211    9964555    7085795    1594710513    2159059884
3649659    470181    490569    12982134    8040135    2106482270    2879125630
1506046    31248    33865    1249923    802302    232758374    550012127
76823    810483    903139    9725523    5835719    1145292326    1177241369
5629667    62250    71090    10424563    6655472    1809491469    2045317414
7512860    44269    48210    1394629    7175210    184863249    1903048406
2134773    167453    170718    10155746    6805696    1422696209    1525196892
69758656    210675    300897    8125527    5581492    674375947    598905709
57505417    167154    186402    6575782    4510445    796450507    744063468
3003916    32899    27417    1013995    601895    319104101    832481189
2491649    31030    31098    16088984    12612259    6683459822    8921261000
1014153    7071    8004    9948426    8756381    1579694001    2663696745
85725    4389    5107    39700    21728    326552489    595466342
5260819    28270    30024    1187126    587884    199235254    385795477
102066    19706    25058    744712    375913    171234652    342150192
92383    162468    182311    8270648    6748963    1347199331    1944288104
319492    153346    178262    11335214    6364045    3342096206    3235025858
1000576    11627    13140    191195    118094    100170151    195585546
3125831    38953    43587    10206891    5619800    1340043898    1307415979
4922988    75661    81426    9875559    6800271    1269052494    1532104089
1720121    15024    32017    473906    259497    200084378    429031004
785887    173943    210220    8191484    5274100    1315586972    1176866660
6825694    548538    722395    9510169    6476349    1492349999    1720243301
992378    6483    6748    114734    52653    141474911    317093033
142216    438337    557916    9956754    8247798    1520035308    2083021055
37496867    237782    285636    11083401    6876349    1350514181    1315191787
145617    83005    93999    9825643    5759662    1330667893    1415441908
5388839    312684    202811    8889083    6228853    1183398551    1265218550
2929804    18855    22324    642257    338428    350660606    917416588
3447871    99362    118163    12176084    6583544    1573464020    1714703832
298177    45199    46585    1423318    1394469    423130135    1455369177
3233931    55152    62686    7437152    4591958    1572142231    1681286011
3875622    122699    27413    13763827    8287683    3053596505    3471924771
1295486    32343    30587    994567    623176    210046075    360615992
